AS Description;Country Code;State;City;Postalcode;Coreg Path;Male/Female;Source;Subid;Age;IP Numerized;Latitude (generated);Longitude (generated);Source + Sub Id;State + City;Hour;Day;Week;DOW;Time Category;Month_Dob;SSD Full Qual
NEBRASKALINK;US;NE;LEXINGTON;68850;35;0;whatifmedia-sweeps-linkout;1728;53.0;1759138459;40.7808;-99.7415;whatifmedia-sweeps-linkout - 1728;NE - LEXINGTON;23;30;22;Thursday;18 - 24;2;1
BHN-33363;US;FL;PALM BAY;32905;sweepstakesalerts;0;launchpotato-linkout;1522;53.0;844751320;28.0332;-80.643;launchpotato-linkout - 1522;FL - PALM BAY;23;30;22;Thursday;18 - 24;7;0
MEDIACOM-ENTERPRISE-BUSINESS;US;IL;JACKSONVILLE;62650;FoundCashNow;0;zeetolinkout-multioffer;Digipropz, LLC;52.0;844206499;39.7343;-90.2288;zeetolinkout-multioffer - Digipropz, LLC;IL - JACKSONVILLE;23;30;22;Thursday;18 - 24;11;0
TWC-11426-CAROLINAS;US;SC;HARTSVILLE;29550;FoundCashNow;0;zeetolinkout-multioffer;Digipropz, LLC;51.0;1277452549;34.374;-80.0734;zeetolinkout-multioffer - Digipropz, LLC;SC - HARTSVILLE;23;30;22;Thursday;18 - 24;7;0
T-MOBILE-AS21928;US;FL;TAMPA;34221;sweepstakesalerts;0;launchpotato-linkout;1947;52.0;2889376208;27.9478;-82.4584;launchpotato-linkout - 1947;FL - TAMPA;23;30;22;Thursday;18 - 24;8;0
ATT-INTERNET4;US;AL;COTTONDALE;35453;27;0;whatifmedia-linkout;2024;53.0;1672317764;33.1896;-87.4517;whatifmedia-linkout - 2024;AL - COTTONDALE;23;30;22;Thursday;18 - 24;2;0
AS-CMN;US;IL;MILAN;61264;44;0;whatifmedia-linkout;1628;58.0;3629254197;41.4531;-90.5721;whatifmedia-linkout - 1628;IL - MILAN;23;30;22;Thursday;18 - 24;9;0
T-MOBILE-AS21928;US;MO;ST LOUIS;63104;sweepstakesalerts;0;launchpotato-linkout;1672;59.0;2889591680;38.63;-90.19;launchpotato-linkout - 1672;MO - ST LOUIS;23;30;22;Thursday;18 - 24;3;0
TWC-11426-CAROLINAS;US;NC;WILSON;27828;sweepstakesalerts;0;launchpotato-linkout;1617;52.0;1270248210;35.7213;-77.9155;launchpotato-linkout - 1617;NC - WILSON;23;30;22;Thursday;18 - 24;9;0
ATLANTICBB-JOHNSTOWN;US;NY;SALAMANCA;14779;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;52.0;2891253210;42.1578;-78.715;zeetolinkout-multioffer - Digipropz, LLC;NY - SALAMANCA;23;30;22;Thursday;18 - 24;1;0
CLOUDFLARENET;US;FL;MIAMI;33125;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;60.0;1746689705;25.7743;-80.1937;zeetolinkout-multioffer - Digipropz, LLC;FL - MIAMI;23;30;22;Thursday;18 - 24;4;0
ASN-CXA-ALL-CCI-22773-RDC;US;OK;OKLAHOMA CITY;73112;5;0;whatifmedia-linkout;1799;63.0;1155908388;35.473;-97.5171;whatifmedia-linkout - 1799;OK - OKLAHOMA CITY;23;30;22;Thursday;18 - 24;8;0
WINDSTREAM;US;GA;GLENNVILLE;30467;sweepstakesalerts;0;launchpotato-linkout;1617;56.0;1193117530;31.9366;-81.9285;launchpotato-linkout - 1617;GA - GLENNVILLE;23;30;22;Thursday;18 - 24;12;0
CELLCO-PART;US;PA;MOUNT CARMEL;17851;9;1;whatifmedia-linkout;1006;53.0;1636899326;40.797;-76.4119;whatifmedia-linkout - 1006;PA - MOUNT CARMEL;23;30;22;Thursday;18 - 24;9;0
UPNLLC;US;IA;DAVENPORT;52806;try.bigwinsweepstakes.com;1;viprev-linkout;a872b83d2506ebd6777f6b01b0937488;51.0;1090248090;41.5236;-90.5776;viprev-linkout - a872b83d2506ebd6777f6b01b0937488;IA - DAVENPORT;23;30;22;Thursday;18 - 24;3;0
ATT-INTERNET4;US;FL;DOYLESTOWN;32901;sweepstakesalerts;0;launchpotato-linkout;1672;53.0;2798089264;36.6309;-82.65;launchpotato-linkout - 1672;FL - DOYLESTOWN;23;30;22;Thursday;18 - 24;4;0
COMCAST-7922;US;AL;FLORENCE;35630;sweepstakesalerts;0;launchpotato-linkout;1522;60.0;1143162607;34.7998;-87.6773;launchpotato-linkout - 1522;AL - FLORENCE;23;30;22;Thursday;18 - 24;6;0
CHARTER-20115;US;AL;OPELIKA;36804;5;0;whatifmedia-linkout;1799;62.0;789427459;32.6454;-85.3783;whatifmedia-linkout - 1799;AL - OPELIKA;23;30;22;Thursday;18 - 24;7;0
AMAZON-02;US;OH;XENIA;45385;9;1;whatifmedia-linkout;2101;55.0;2713490679;39.6848;-83.9297;whatifmedia-linkout - 2101;OH - XENIA;22;30;22;Thursday;18 - 24;3;0
ATT-INTERNET4;US;TN;MORRISTOWN;37814;sweepstakesalerts;0;launchpotato-linkout;1947;50.0;1808905001;36.214;-83.2949;launchpotato-linkout - 1947;TN - MORRISTOWN;22;30;22;Thursday;18 - 24;8;0
TWC-10796-MIDWEST;US;OH;CINCINNATI;45237;11;1;whatifmedia-linkout;1628;57.0;1277378052;39.1015;-84.5125;whatifmedia-linkout - 1628;OH - CINCINNATI;22;30;22;Thursday;18 - 24;7;0
BTES-AS;US;TN;BRISTOL;37620;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;60.0;1138690526;36.5951;-82.1887;zeetolinkout-multioffer - Digipropz, LLC;TN - BRISTOL;22;30;22;Thursday;18 - 24;11;0
AS-PTD;US;PA;DRUMS;17976;sweepstakesalerts;0;launchpotato-linkout;1672;53.0;409385916;41.0181;-75.9949;launchpotato-linkout - 1672;PA - DRUMS;22;30;22;Thursday;18 - 24;2;0
ATT-INTERNET4;US;SC;ROCK HILL;29732;44;0;whatifmedia-linkout;1006;60.0;2798103070;34.9249;-81.0251;whatifmedia-linkout - 1006;SC - ROCK HILL;22;30;22;Thursday;18 - 24;10;0
COMCAST-7922;US;MD;JOPPA;21085;5;0;whatifmedia-linkout;1799;61.0;1238675679;39.4337;-76.3577;whatifmedia-linkout - 1799;MD - JOPPA;22;30;22;Thursday;18 - 24;9;0
COMCAST-7922;US;PA;GETTYSBURG;17325;207;0;whatifmedia-linkout;1705;59.0;1195016853;39.8309;-77.2311;whatifmedia-linkout - 1705;PA - GETTYSBURG;22;30;22;Thursday;18 - 24;11;0
UUNET;US;MD;COLUMBIA;21044;try.bigwinsweepstakes.com;0;viprev-linkout;56ad4632c661f73567f45063b5722567;53.0;1202959187;39.2156;-76.8582;viprev-linkout - 56ad4632c661f73567f45063b5722567;MD - COLUMBIA;22;30;22;Thursday;18 - 24;3;0
T-MOBILE-AS21928;US;SC;CHARLOTTE;29649;sweepstakesalerts;1;launchpotato-linkout;1617;49.0;2889604805;36.6309;-82.65;launchpotato-linkout - 1617;SC - CHARLOTTE;22;30;22;Thursday;18 - 24;1;0
ATT-INTERNET4;US;FL;DOVER;33527;5;1;whatifmedia-linkout;1799;55.0;206232857;27.9942;-82.2195;whatifmedia-linkout - 1799;FL - DOVER;22;30;22;Thursday;18 - 24;10;0
T-MOBILE-AS21928;US;AZ;TUCSON;85730;13;0;whatifmedia-sweeps-linkout;1006;59.0;2889372311;32.2217;-110.9265;whatifmedia-sweeps-linkout - 1006;AZ - TUCSON;22;30;22;Thursday;18 - 24;10;0
COMCAST-7922;US;PA;JERMYN;18433;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;57.0;2930903010;41.5309;-75.5455;zeetolinkout-multioffer - Digipropz, LLC;PA - JERMYN;22;30;22;Thursday;18 - 24;12;0
T-MOBILE-AS21928;US;PA;HOMESTEAD;15120;http://www.PublicSurveyPanel.com/?config=9425;1;webclients-linkout;291260;60.0;2889407994;40.4059;-79.912;webclients-linkout - 291260;PA - HOMESTEAD;22;30;22;Thursday;18 - 24;5;0
T-MOBILE-AS21928;US;PA;PHILADELPHIA;19130;https://www.FavoriteConsumerBrands.com/?config=10374;1;webclients-linkout;291260;56.0;2889535305;40.0115;-75.1327;webclients-linkout - 291260;PA - PHILADELPHIA;22;30;22;Thursday;18 - 24;11;0
TWC-10796-MIDWEST;US;WI;MILWAUKEE;53233;9;0;whatifmedia-linkout;2413;59.0;1277648950;43.0115;-87.9735;whatifmedia-linkout - 2413;WI - MILWAUKEE;22;30;22;Thursday;18 - 24;4;0
CELLCO-PART;US;NC;CHARLOTTE;27265;sweepstakesalerts;0;launchpotato-linkout;1617;50.0;2935312607;35.2271;-80.8431;launchpotato-linkout - 1617;NC - CHARLOTTE;22;30;22;Thursday;18 - 24;12;0
CAROLINACONNECT-01;US;SC;GILBERT;29054;24;0;whatifmedia-linkout;1786;62.0;2270431501;33.9243;-81.3937;whatifmedia-linkout - 1786;SC - GILBERT;22;30;22;Thursday;18 - 24;1;0
ATT-INTERNET4;US;AZ;SOMERTON;85350;28;1;whatifmedia-sweeps-linkout;2188;61.0;2798501455;32.5964;-114.7097;whatifmedia-sweeps-linkout - 2188;AZ - SOMERTON;22;30;22;Thursday;18 - 24;9;0
VIOLA-COMMUNICATIONS;US;IL;DOYLESTOWN;61272;sweepstakesalerts;0;launchpotato-linkout;1522;55.0;1255027302;36.6309;-82.65;launchpotato-linkout - 1522;IL - DOYLESTOWN;22;30;22;Thursday;18 - 24;10;0
T-MOBILE-AS21928;US;GA;ATLANTA;30529;sweepstakesalerts;1;launchpotato-linkout;1672;57.0;2889369384;33.7491;-84.3902;launchpotato-linkout - 1672;GA - ATLANTA;22;30;22;Thursday;18 - 24;11;0
AS-PTD;US;PA;BETHLEHEM;18015;35;1;whatifmedia-sweeps-linkout;2375;59.0;410191919;40.6179;-75.3787;whatifmedia-sweeps-linkout - 2375;PA - BETHLEHEM;22;30;22;Thursday;18 - 24;3;0
CELLCO-PART;US;FL;BONIFAY;32425;http://www.PublicSurveyPanel.com/?config=9465;1;webclients-linkout;287111;52.0;2934919329;30.7919;-85.6797;webclients-linkout - 287111;FL - BONIFAY;22;30;22;Thursday;18 - 24;2;0
T-MOBILE-AS21928;US;NY;BRONX;10455;try.bigwinsweepstakes.com;0;viprev-linkout;a872b83d2506ebd6777f6b01b0937488;62.0;2889393442;40.8262;-73.9231;viprev-linkout - a872b83d2506ebd6777f6b01b0937488;NY - BRONX;22;30;22;Thursday;18 - 24;12;0
AS-PTD;US;PA;GOULDSBORO;18424;http://www.PublicSurveyPanel.com/?config=9465;1;webclients-linkout;287111;60.0;3475783794;41.2445;-75.456;webclients-linkout - 287111;PA - GOULDSBORO;22;30;22;Thursday;18 - 24;9;0
BHN-33363;US;FL;MELBOURNE;32901;Finderish;0;zeetolinkout-multioffer;Tibrio;61.0;1154285944;28.0836;-80.6081;zeetolinkout-multioffer - Tibrio;FL - MELBOURNE;22;30;22;Thursday;18 - 24;8;0
FRONTIER-FRTR;US;NC;WHITTIER;28789;15;1;whatifmedia-linkout;1006;62.0;1755952956;35.4351;-83.3602;whatifmedia-linkout - 1006;NC - WHITTIER;22;30;22;Thursday;18 - 24;3;0
BHN-33363;US;FL;AUBURNDALE;33823;19;1;whatifmedia-linkout;1790;63.0;1220223541;28.0653;-81.7887;whatifmedia-linkout - 1790;FL - AUBURNDALE;21;30;22;Thursday;18 - 24;11;0
MEDIACOM-ENTERPRISE-BUSINESS;US;MO;SPRINGFIELD;65803;sweepstakesalerts;0;launchpotato-linkout;1665;51.0;2904096778;37.2153;-93.2983;launchpotato-linkout - 1665;MO - SPRINGFIELD;21;30;22;Thursday;18 - 24;3;0
HNS-DIRECPC;US;TN;RIPLEY;38063;15;0;whatifmedia-linkout;1006;55.0;3090418357;35.7454;-89.5298;whatifmedia-linkout - 1006;TN - RIPLEY;21;30;22;Thursday;18 - 24;12;0
T-MOBILE-AS21928;US;AL;BIRMINGHAM;35218;27;0;whatifmedia-linkout;1766;49.0;2889408566;33.5207;-86.8024;whatifmedia-linkout - 1766;AL - BIRMINGHAM;21;30;22;Thursday;18 - 24;1;0
CABLE-NET-1;US;NY;ELMONT;11003;5;0;whatifmedia-linkout;1799;60.0;1165818053;40.7009;-73.7129;whatifmedia-linkout - 1799;NY - ELMONT;21;30;22;Thursday;18 - 24;2;0
T-MOBILE-AS21928;US;AL;BESSEMER;35022;5;0;whatifmedia-linkout;1006;61.0;2889408943;33.4018;-86.9544;whatifmedia-linkout - 1006;AL - BESSEMER;21;30;22;Thursday;18 - 24;5;0
HNS-DIRECPC;US;NC;SPRUCE PINE;28777;5;1;whatifmedia-linkout;2229;61.0;1133478038;35.9148;-82.0664;whatifmedia-linkout - 2229;NC - SPRUCE PINE;21;30;22;Thursday;18 - 24;6;0
T-MOBILE-AS21928;US;IL;CHICAGO;60644;175;0;whatifmedia-linkout;1705;53.0;2889525161;41.8756;-87.6244;whatifmedia-linkout - 1705;IL - CHICAGO;21;30;22;Thursday;18 - 24;8;0
T-MOBILE-AS21928;US;TN;NASHVILLE;37804;sweepstakesalerts;1;launchpotato-linkout;1916;56.0;2889520781;36.1622;-86.7744;launchpotato-linkout - 1916;TN - NASHVILLE;21;30;22;Thursday;18 - 24;5;0
T-MOBILE-AS21928;US;MO;WILLARD;65781;19;0;whatifmedia-linkout;1790;57.0;2889607106;37.305;-93.4285;whatifmedia-linkout - 1790;MO - WILLARD;21;30;22;Thursday;18 - 24;2;0
T-MOBILE-AS21928;US;AL;ATLANTA;35205;sweepstakesalerts;1;launchpotato-linkout;1522;61.0;2889369378;36.6309;-82.65;launchpotato-linkout - 1522;AL - ATLANTA;21;30;22;Thursday;18 - 24;11;0
ATT-INTERNET4;US;OK;STILLWATER;74075;5;0;whatifmedia-linkout;1799;63.0;206244636;36.1156;-97.0586;whatifmedia-linkout - 1799;OK - STILLWATER;21;30;22;Thursday;18 - 24;10;0
CELLCO-PART;US;MO;FLORISSANT;65648;sweepstakesalerts;0;launchpotato-linkout;1145;50.0;2933000384;38.7892;-90.3226;launchpotato-linkout - 1145;MO - FLORISSANT;21;30;22;Thursday;18 - 24;1;1
FIDN;US;MO;LEBANON;65536;24;0;whatifmedia-linkout;1786;59.0;1219283861;37.6807;-92.6638;whatifmedia-linkout - 1786;MO - LEBANON;21;30;22;Thursday;18 - 24;7;0
TWC-10796-MIDWEST;US;OH;COLUMBUS;43204;5;0;whatifmedia-linkout;1799;59.0;1270647367;39.9623;-83.0007;whatifmedia-linkout - 1799;OH - COLUMBUS;21;30;22;Thursday;18 - 24;9;0
T-MOBILE-AS21928;US;NY;BROOKLYN;11225;try.bigwinsweepstakes.com;0;viprev-linkout;a872b83d2506ebd6777f6b01b0937488;50.0;2889393414;40.6922;-73.9902;viprev-linkout - a872b83d2506ebd6777f6b01b0937488;NY - BROOKLYN;21;30;22;Thursday;18 - 24;8;0
T-MOBILE-AS21928;US;FL;OPA LOCKA;33055;19;1;whatifmedia-linkout;1006;57.0;2889516692;25.93;-80.29;whatifmedia-linkout - 1006;FL - OPA LOCKA;21;30;22;Thursday;18 - 24;9;0
COMCAST-7922;US;FL;ORLANDO;32804;19;1;whatifmedia-linkout;1006;62.0;1204507171;28.5421;-81.379;whatifmedia-linkout - 1006;FL - ORLANDO;21;30;22;Thursday;18 - 24;4;0
CTELCO;US;NH;BRISTOL;3222;24;0;whatifmedia-linkout;1958;50.0;1202214747;43.5913;-71.7368;whatifmedia-linkout - 1958;NH - BRISTOL;21;30;22;Thursday;18 - 24;10;0
T-MOBILE-AS21928;US;OH;TOLEDO;43605;Senior Medical Guide;0;zeetolinkout-multioffer;Tibrio;60.0;2889513694;41.6787;-83.5127;zeetolinkout-multioffer - Tibrio;OH - TOLEDO;21;30;22;Thursday;18 - 24;5;0
T-MOBILE-AS21928;US;MD;CUMBERLAND;21502;Senior Medical Guide;0;zeetolinkout-multioffer;Tibrio;60.0;2889351864;39.6529;-78.7625;zeetolinkout-multioffer - Tibrio;MD - CUMBERLAND;21;30;22;Thursday;18 - 24;8;0
CELLCO-PART;US;NC;HUBERT;28539;24;1;whatifmedia-linkout;1786;55.0;2933018112;34.7138;-77.2452;whatifmedia-linkout - 1786;NC - HUBERT;21;30;22;Thursday;18 - 24;11;0
ATT-INTERNET4;US;GA;WALLINGFORD;31220;sweepstakesalerts;0;launchpotato-linkout;1672;54.0;2798034225;36.6309;-82.65;launchpotato-linkout - 1672;GA - WALLINGFORD;21;30;22;Thursday;18 - 24;3;0
VTCNET;US;AZ;WILLCOX;85643;3;0;whatifmedia-linkout;1006;51.0;3436283337;32.2529;-109.8316;whatifmedia-linkout - 1006;AZ - WILLCOX;21;30;22;Thursday;18 - 24;11;0
TWC-11351-NORTHEAST;US;NY;VESTAL;13903;sweepstakesalerts;0;launchpotato-linkout;1672;51.0;1245801584;42.0851;-76.0538;launchpotato-linkout - 1672;NY - VESTAL;21;30;22;Thursday;18 - 24;9;0
ATT-MOBILITY-LLC-AS20057;US;SC;SPARTANBURG;66046;195;0;whatifmedia-linkout;1705;56.0;1800268496;34.9498;-81.932;whatifmedia-linkout - 1705;SC - SPARTANBURG;21;30;22;Thursday;18 - 24;4;0
MTCO-COMMUNICATIONS;US;IL;MC NABB;61335;5;1;whatifmedia-linkout;1799;55.0;2834676338;41.177;-89.2093;whatifmedia-linkout - 1799;IL - MC NABB;21;30;22;Thursday;18 - 24;12;0
TWC-10796-MIDWEST;US;WI;OCONOMOWOC;53066;FoundCashNow;0;zeetolinkout-multioffer;Digipropz, LLC;60.0;1216862490;43.1117;-88.4993;zeetolinkout-multioffer - Digipropz, LLC;WI - OCONOMOWOC;21;30;22;Thursday;18 - 24;7;0
CELLCO-PART;US;IL;TUSCOLA;61953;51;0;whatifmedia-sweeps-linkout;2188;62.0;2934929175;39.7992;-88.2831;whatifmedia-sweeps-linkout - 2188;IL - TUSCOLA;20;30;22;Thursday;18 - 24;7;0
T-MOBILE-AS21928;US;IL;CHICAGO;60609;24;1;whatifmedia-linkout;2171;59.0;2889355664;41.8756;-87.6244;whatifmedia-linkout - 2171;IL - CHICAGO;20;30;22;Thursday;18 - 24;6;0
CHARTER-20115;US;NC;VALE;28168;5;0;whatifmedia-linkout;1799;58.0;414358451;35.5399;-81.3973;whatifmedia-linkout - 1799;NC - VALE;20;30;22;Thursday;18 - 24;7;0
T-MOBILE-AS21928;US;OR;SALEM;97304;88;0;whatifmedia-linkout;1705;52.0;2889389913;44.9392;-123.0331;whatifmedia-linkout - 1705;OR - SALEM;20;30;22;Thursday;18 - 24;7;0
TWC-11426-CAROLINAS;US;NC;STATESVILLE;28677;5;1;whatifmedia-linkout;1799;51.0;1277658502;35.7826;-80.8873;whatifmedia-linkout - 1799;NC - STATESVILLE;20;30;22;Thursday;18 - 24;10;0
T-MOBILE-AS21928;US;SC;ANDERSON;29621;5;0;whatifmedia-linkout;1799;53.0;2889603482;34.5069;-82.6506;whatifmedia-linkout - 1799;SC - ANDERSON;20;30;22;Thursday;18 - 24;11;0
TWC-10796-MIDWEST;US;OH;CLEVELAND;44128;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;54.0;1277354870;41.5052;-81.6934;zeetolinkout-multioffer - Digipropz, LLC;OH - CLEVELAND;20;30;22;Thursday;18 - 24;8;1
TWC-11351-NORTHEAST;US;ME;LEWISTON;4240;sweepstakesalerts;1;launchpotato-linkout;1672;50.0;1277538437;44.1004;-70.2148;launchpotato-linkout - 1672;ME - LEWISTON;20;30;22;Thursday;18 - 24;7;0
COMCAST-7922;US;FL;PAHOKEE;33476;9;0;whatifmedia-linkout;2407;57.0;1224773403;26.8201;-80.6653;whatifmedia-linkout - 2407;FL - PAHOKEE;20;30;22;Thursday;18 - 24;1;0
T-MOBILE-AS21928;US;NY;YONKERS;10705;5;0;whatifmedia-linkout;1799;62.0;2889401611;40.9312;-73.8987;whatifmedia-linkout - 1799;NY - YONKERS;20;30;22;Thursday;18 - 24;11;0
CHARTER-20115;US;GA;SMYRNA;30082;15;0;whatifmedia-linkout;1006;56.0;788894086;33.884;-84.5147;whatifmedia-linkout - 1006;GA - SMYRNA;20;30;22;Thursday;18 - 24;1;0
TWC-11426-CAROLINAS;US;NC;STATESVILLE;28625;try.bigwinsweepstakes.com;0;viprev-linkout;a872b83d2506ebd6777f6b01b0937488;52.0;2926382116;35.7826;-80.8873;viprev-linkout - a872b83d2506ebd6777f6b01b0937488;NC - STATESVILLE;20;30;22;Thursday;18 - 24;10;0
ATT-INTERNET4;US;WI;MILWAUKEE;53223;35;1;whatifmedia-sweeps-linkout;2188;60.0;393720817;43.0115;-87.9735;whatifmedia-sweeps-linkout - 2188;WI - MILWAUKEE;20;30;22;Thursday;18 - 24;12;0
COMCAST-7922;US;MD;ALEXANDRIA;21012;sweepstakesalerts;0;launchpotato-linkout;1617;60.0;1615444201;36.6309;-82.65;launchpotato-linkout - 1617;MD - ALEXANDRIA;20;30;22;Thursday;18 - 24;9;0
ASN-CXA-ALL-CCI-22773-RDC;US;AZ;SURPRISE;85379;5;1;whatifmedia-linkout;1799;56.0;1185998176;33.6292;-112.368;whatifmedia-linkout - 1799;AZ - SURPRISE;20;30;22;Thursday;18 - 24;8;0
WCGNC;US;NC;WENDELL;27591;46;1;whatifmedia-linkout;1006;63.0;3327517893;35.781;-78.3697;whatifmedia-linkout - 1006;NC - WENDELL;20;30;22;Thursday;18 - 24;10;0
CHARTER-20115;US;NC;ROXBORO;27573;24;0;whatifmedia-linkout;1778;54.0;2924534555;36.3938;-78.9828;whatifmedia-linkout - 1778;NC - ROXBORO;20;30;22;Thursday;18 - 24;10;0
CELLONE-IP;US;AZ;GANADO;86505;9;1;whatifmedia-linkout;2413;51.0;3234324886;35.7116;-109.5421;whatifmedia-linkout - 2413;AZ - GANADO;20;30;22;Thursday;18 - 24;2;0
CHARTER-20115;US;GA;COVINGTON;30014;sweepstakesalerts;0;launchpotato-linkout;1672;55.0;1632718417;33.5968;-83.8602;launchpotato-linkout - 1672;GA - COVINGTON;20;30;22;Thursday;18 - 24;7;0
UUNET;US;NY;FLORAL PARK;11003;sweepstakesalerts;1;launchpotato-linkout;1947;50.0;1248168466;40.7237;-73.7049;launchpotato-linkout - 1947;NY - FLORAL PARK;20;30;22;Thursday;18 - 24;4;0
ATT-INTERNET4;US;TN;SARDIS;38371;5;0;whatifmedia-linkout;1799;55.0;1802978578;35.4423;-88.2937;whatifmedia-linkout - 1799;TN - SARDIS;20;30;22;Thursday;18 - 24;2;0
TWC-11426-CAROLINAS;US;NC;GREENSBORO;27409;ConsumerTestConnect;0;ifficient-linkout;1045-92;57.0;1277473546;36.0726;-79.792;ifficient-linkout - 1045-92;NC - GREENSBORO;20;30;22;Thursday;18 - 24;12;0
COMCAST-7015;US;MA;FALL RIVER;2724;5;0;whatifmedia-linkout;1799;52.0;408621080;41.7011;-71.1546;whatifmedia-linkout - 1799;MA - FALL RIVER;20;30;22;Thursday;18 - 24;6;0
ATT-INTERNET4;US;OR;SALEM;97301;Finderish;1;zeetolinkout-multioffer;Tibrio;51.0;1802792450;44.9392;-123.0331;zeetolinkout-multioffer - Tibrio;OR - SALEM;20;30;22;Thursday;18 - 24;1;0
T-MOBILE-AS21928;US;SC;FLORENCE;29501;3;0;whatifmedia-linkout;2027;62.0;2889604896;34.1984;-79.7672;whatifmedia-linkout - 2027;SC - FLORENCE;20;30;22;Thursday;18 - 24;11;0
TWC-10796-MIDWEST;US;OH;DAYTON;45417;5;1;whatifmedia-linkout;1799;56.0;1270493328;39.7589;-84.1916;whatifmedia-linkout - 1799;OH - DAYTON;20;30;22;Thursday;18 - 24;11;1
T-MOBILE-AS21928;US;NC;DURHAM;27705;9;1;whatifmedia-linkout;2413;58.0;2889604729;35.994;-78.8986;whatifmedia-linkout - 2413;NC - DURHAM;20;30;22;Thursday;18 - 24;12;0
CELLCO-PART;US;GA;AUGUSTA;30907;3;0;whatifmedia-linkout;2027;54.0;2935894501;33.471;-81.9748;whatifmedia-linkout - 2027;GA - AUGUSTA;20;30;22;Thursday;18 - 24;2;0
CELLCO-PART;US;AZ;LAS VEGAS;85745;sweepstakesalerts;0;launchpotato-linkout;1159;58.0;1272910934;36.6309;-82.65;launchpotato-linkout - 1159;AZ - LAS VEGAS;19;30;22;Thursday;18 - 24;11;0
ATT-INTERNET4;US;SC;CLIO;29525;sweepstakesalerts;0;launchpotato-linkout;1522;61.0;1172149988;34.5796;-79.5464;launchpotato-linkout - 1522;SC - CLIO;19;30;22;Thursday;18 - 24;4;1
TWC-11351-NORTHEAST;US;NY;BUFFALO;14201;3;0;whatifmedia-linkout;2027;60.0;1823953851;42.9333;-78.877;whatifmedia-linkout - 2027;NY - BUFFALO;19;30;22;Thursday;18 - 24;12;0
UUNET;US;NY;SYRACUSE;13224;ConsumerTestConnect;1;ifficient-linkout;1045-3083;60.0;1198777393;43.0481;-76.1474;ifficient-linkout - 1045-3083;NY - SYRACUSE;19;30;22;Thursday;18 - 24;5;0
T-MOBILE-AS21928;US;PA;PORTAGE;15946;11;0;whatifmedia-linkout;1006;61.0;2889582934;40.3887;-78.6722;whatifmedia-linkout - 1006;PA - PORTAGE;19;30;22;Thursday;18 - 24;12;0
ASN-CXA-ALL-CCI-22773-RDC;US;AZ;CASA GRANDE;85051;sweepstakesalerts;1;launchpotato-linkout;1659;59.0;3099459991;32.8794;-111.7576;launchpotato-linkout - 1659;AZ - CASA GRANDE;19;30;22;Thursday;18 - 24;9;0
ATT-INTERNET4;US;AL;ATHENS;35613;5;1;whatifmedia-linkout;1799;60.0;2731267302;34.8029;-86.9717;whatifmedia-linkout - 1799;AL - ATHENS;19;30;22;Thursday;18 - 24;3;1
CHARTER-20115;US;NC;ROXBORO;27583;sweepstakesalerts;0;launchpotato-linkout;1947;53.0;2924534684;36.3938;-78.9828;launchpotato-linkout - 1947;NC - ROXBORO;19;30;22;Thursday;18 - 24;10;0
T-MOBILE-AS21928;US;TN;LENOIR CITY;37771;19;0;whatifmedia-linkout;1790;59.0;2889520845;35.7973;-84.256;whatifmedia-linkout - 1790;TN - LENOIR CITY;19;30;22;Thursday;18 - 24;12;0
CELLCO-PART;US;MD;WASHINGTON;21214;sweepstakesalerts;0;launchpotato-linkout;1672;52.0;2933430568;36.6309;-82.65;launchpotato-linkout - 1672;MD - WASHINGTON;19;30;22;Thursday;18 - 24;1;0
CELLCO-PART;US;FL;LAKELAND;33805;24;1;whatifmedia-linkout;1778;55.0;2933585394;28.0395;-81.9498;whatifmedia-linkout - 1778;FL - LAKELAND;19;30;22;Thursday;18 - 24;5;0
T-MOBILE-AS21928;US;NY;STATEN ISLAND;10305;ConsumerTestConnect;1;ifficient-linkout;1045-2952;63.0;2889601775;40.6428;-74.0749;ifficient-linkout - 1045-2952;NY - STATEN ISLAND;19;30;22;Thursday;18 - 24;10;0
ATT-INTERNET4;US;SC;MURRELLS INLET;29576;ConsumerTestConnect;1;ifficient-linkout;1045-50;54.0;2798102538;33.551;-79.0414;ifficient-linkout - 1045-50;SC - MURRELLS INLET;19;30;22;Thursday;18 - 24;2;0
COMCAST-7922;US;MO;OLATHE;64055;sweepstakesalerts;1;launchpotato-linkout;1159;61.0;1173856961;36.6309;-82.65;launchpotato-linkout - 1159;MO - OLATHE;19;30;22;Thursday;18 - 24;1;0
T-MOBILE-AS21928;US;MA;MALDEN;1902;sweepstakesalerts;1;launchpotato-linkout;1947;57.0;2889400726;42.4251;-71.0662;launchpotato-linkout - 1947;MA - MALDEN;19;30;22;Thursday;18 - 24;3;0
COMCAST-7922;US;TN;MEMPHIS;38134;9;0;whatifmedia-linkout;1705;62.0;1647751459;35.149;-90.0516;whatifmedia-linkout - 1705;TN - MEMPHIS;19;30;22;Thursday;18 - 24;8;0
